1|0|1|Hey guys, how's everyone doing?|2017-01-01 12:00:00
2|2|2|Can someone help me figure out why my fish are dying?|2017-01-02 12:00:00
3|0|1|My betta fish just built a bubble nest!|2017-01-03 12:00:00
4|1|5|Anyone else have experience with cichlid aggression?|2017-01-04 12:00:00
5|4|2|Has anyone tried using a UV sterilizer in their aquarium?|2017-01-05 12:00:00
6|6|7|Check out this amazing coral I just got!|2017-01-06 12:00:00
7|11|1|Does anyone have tips for breeding guppies?|2017-01-07 12:00:00
8|3|3|What's the best way to cycle a new tank?|2017-01-08 12:00:00
9|0|1|My guppy just gave birth to fry!|2017-01-09 12:00:00
10|2|2|Thanks for the help, my fish are doing much better now!|2017-01-10 12:00:00
11|5|5|Just added some new cichlids to my tank, they're stunning!|2017-01-11 12:00:00
12|4|4|Can anyone recommend a good salt mix for a reef tank?|2017-01-12 12:00:00
13|6|6|My plants are finally starting to grow in!|2017-01-13 12:00:00
14|10|2|Anyone have experience with treating ich?|2017-01-14 12:00:00
15|13|3|What kind of fish would be good in a community tank?|2017-01-15 12:00:00
16|0|1|Just got a new filter and my water is crystal clear!|2017-01-16 12:00:00
17|9|4|Has anyone used live sand in their saltwater tank?|2017-01-17 12:00:00
18|1|5|My cichlids just spawned!|2017-01-18 12:00:00
19|15|6|Does anyone have tips for pruning plants in a planted tank?|2017-01-19 12:00:00
20|20|8|I just got a new camera and can't wait to take some fish photos!|2017-01-20 12:00:00
21|2|2|My fish have been acting strange lately, any ideas why?|2017-01-21 12:00:00
22|4|4|Just picked up some new coral frags, they look great in my tank!|2017-01-22 12:00:00
23|6|7|Check out this video of a cuttlefish changing color!|2017-01-23 12:00:00
101|3|3|Anyone know where I can find some good driftwood for my tank?|2018-03-14 12:30:00
102|0|4|I've had good luck finding driftwood on Amazon!|2018-03-14 13:15:00
103|2|2|My filter is making a strange noise, any suggestions?|2018-03-15 09:45:00
104|14|2|Have you checked to see if it's clogged?|2018-03-15 10:00:00
105|11|1|What's everyone's favorite type of fish to keep?|2018-03-16 11:20:00
106|5|1|I love my betta fish, they have so much personality!|2018-03-16 11:30:00
107|13|3|Does anyone have any tips for maintaining a planted tank?|2018-03-17 14:45:00
108|6|3|I use a CO2 system to keep my plants healthy and vibrant|2018-03-17 15:00:00
109|19|4|What's the best type of substrate for a saltwater tank?|2018-03-18 08:30:00
110|0|4|I prefer to use live sand in my saltwater tanks, it helps maintain good bacteria levels!|2018-03-18 09:00:00
111|8|5|Who else loves keeping cichlids?|2018-03-19 10:00:00
112|12|5|I do! They have such unique personalities and behaviors|2018-03-19 10:15:00
113|15|6|Has anyone had success with keeping carpeting plants in their tanks?|2018-03-20 13:45:00
114|7|6|I have! I use a nutrient-rich substrate and CO2 to help them grow|2018-03-20 14:00:00
115|17|7|What's everyone's favorite marine animal to keep?|2018-03-21 11:30:00
116|4|7|I love keeping seahorses, they're so delicate and beautiful|2018-03-21 11:45:00
117|18|8|Anyone have any tips for taking great photos of their fish?|2018-03-22 09:30:00
118|10|8|I like to use a fast shutter speed to freeze the motion of the fish, and a shallow depth of field to blur the background|2018-03-22 09:45:00
119|0|1|Has anyone ever kept a pufferfish before?|2018-03-23 12:00:00
120|11|1|I have! They're such quirky and fun fish, but they can be a bit aggressive|2018-03-23 12:15:00
121|13|3|What's the best type of lighting to use for a planted tank?|2018-03-24 08:00:00
122|7|3|I recommend using LED lights, they're energy-efficient and can be programmed to simulate natural sunlight|2018-03-24 08:30:00
